ID,Field Name,Label,Model,Model ID,Type,Relation,Required,Readonly,Stored
28105,account_type,"Type",account.account,292,selection,,Yes,No,Yes
51561,activity_calendar_event_id,"Next Activity Calendar Event",account.account,292,many2one,calendar.event,No,Yes,No
51556,activity_date_deadline,"Next Activity Deadline",account.account,292,date,,No,Yes,No
51559,activity_exception_decoration,"Activity Exception Decoration",account.account,292,selection,,No,Yes,No
51560,activity_exception_icon,"Icon",account.account,292,char,,No,Yes,No
51551,activity_ids,"Activities",account.account,292,one2many,mail.activity,No,No,Yes
51552,activity_state,"Activity State",account.account,292,selection,,No,Yes,No
51558,activity_summary,"Next Activity Summary",account.account,292,char,,No,No,No
51555,activity_type_icon,"Activity Type Icon",account.account,292,char,,No,Yes,No
51554,activity_type_id,"Next Activity Type",account.account,292,many2one,mail.activity.type,No,No,No
51553,activity_user_id,"Responsible User",account.account,292,many2one,res.users,No,Yes,No
16689,allowed_journal_ids,"Allowed Journals",account.account,292,many2many,account.journal,No,No,Yes
7641,asset_model,"Asset Model",account.account,292,many2one,account.asset,No,No,Yes
7643,can_create_asset,"Can Create Asset",account.account,292,boolean,,No,Yes,No
5014,code,"Code",account.account,292,char,,Yes,No,Yes
28102,company_currency_id,"Currency",account.account,292,many2one,res.currency,No,Yes,No
5023,company_id,"Company",account.account,292,many2one,res.company,Yes,No,Yes
7642,create_asset,"Create Asset",account.account,292,selection,,Yes,No,Yes
5032,create_date,"Created on",account.account,292,datetime,,No,Yes,Yes
5031,create_uid,"Created by",account.account,292,many2one,res.users,No,Yes,Yes
5013,currency_id,"Account Currency",account.account,292,many2one,res.currency,No,No,Yes
25633,current_balance,"Current Balance",account.account,292,float,,No,Yes,No
5015,deprecated,"Deprecated",account.account,292,boolean,,No,No,Yes
5030,display_name,"Display Name",account.account,292,char,,No,Yes,No
18216,exclude_provision_currency_ids,"Exclude Provision Currency",account.account,292,many2many,res.currency,No,No,Yes
7644,form_view_ref,"Form View Ref",account.account,292,char,,No,Yes,No
