Field_ID,Field_Name,Field_Label,Field_Type,Model_ID,Model_Name,Related_Model,Related_Model_ID,Related_Model_Display_Name,Stored,Required,Readonly
28105,account_type,"Type",selection,292,account.account,,,"",Yes,Yes,No
51561,activity_calendar_event_id,"Next Activity Calendar Event",many2one,292,account.account,calendar.event,184,"Calendar Event",No,No,Yes
51556,activity_date_deadline,"Next Activity Deadline",date,292,account.account,,,"",No,No,Yes
51559,activity_exception_decoration,"Activity Exception Decoration",selection,292,account.account,,,"",No,No,Yes
51560,activity_exception_icon,"Icon",char,292,account.account,,,"",No,No,Yes
51551,activity_ids,"Activities",one2many,292,account.account,mail.activity,154,"Activity",Yes,No,No
51552,activity_state,"Activity State",selection,292,account.account,,,"",No,No,Yes
51558,activity_summary,"Next Activity Summary",char,292,account.account,,,"",No,No,No
51555,activity_type_icon,"Activity Type Icon",char,292,account.account,,,"",No,No,Yes
51554,activity_type_id,"Next Activity Type",many2one,292,account.account,mail.activity.type,153,"Activity Type",No,No,No
51553,activity_user_id,"Responsible User",many2one,292,account.account,res.users,90,"User",No,No,Yes
16689,allowed_journal_ids,"Allowed Journals",many2many,292,account.account,account.journal,296,"Journal",Yes,No,No
7641,asset_model,"Asset Model",many2one,292,account.account,account.asset,404,"Asset/Revenue Recognition",Yes,No,No
7643,can_create_asset,"Can Create Asset",boolean,292,account.account,,,"",No,No,Yes
5014,code,"Code",char,292,account.account,,,"",Yes,Yes,No
28102,company_currency_id,"Currency",many2one,292,account.account,res.currency,85,"Currency",No,No,Yes
5023,company_id,"Company",many2one,292,account.account,res.company,87,"Companies",Yes,Yes,No
7642,create_asset,"Create Asset",selection,292,account.account,,,"",Yes,Yes,No
5032,create_date,"Created on",datetime,292,account.account,,,"",Yes,No,Yes
5031,create_uid,"Created by",many2one,292,account.account,res.users,90,"User",Yes,No,Yes
5013,currency_id,"Account Currency",many2one,292,account.account,res.currency,85,"Currency",Yes,No,No
25633,current_balance,"Current Balance",float,292,account.account,,,"",No,No,Yes
5015,deprecated,"Deprecated",boolean,292,account.account,,,"",Yes,No,No
5030,display_name,"Display Name",char,292,account.account,,,"",No,No,Yes
