Field_ID,Field_Name,Field_Label,Field_Type,Model_ID,Model_Name,Related_Model,Related_Model_ID,Relation_Field,Relation_Table,Column1,Column2,Primary_Data_Location,Stored
28105,account_type,"Type",selection,292,account.account,,,,,,,"account.account.account_type",Yes
51561,activity_calendar_event_id,"Next Activity Calendar Event",many2one,292,account.account,calendar.event,184,,,,,"calendar.event.id",No
51556,activity_date_deadline,"Next Activity Deadline",date,292,account.account,,,,,,,"Computed",No
51559,activity_exception_decoration,"Activity Exception Decoration",selection,292,account.account,,,,,,,"Computed",No
51560,activity_exception_icon,"Icon",char,292,account.account,,,,,,,"Computed",No
51551,activity_ids,"Activities",one2many,292,account.account,mail.activity,154,res_id,,,,"mail.activity.res_id",Yes
51552,activity_state,"Activity State",selection,292,account.account,,,,,,,"Computed",No
51558,activity_summary,"Next Activity Summary",char,292,account.account,,,,,,,"Computed",No
51555,activity_type_icon,"Activity Type Icon",char,292,account.account,,,,,,,"Computed",No
51554,activity_type_id,"Next Activity Type",many2one,292,account.account,mail.activity.type,153,,,,,"mail.activity.type.id",No
51553,activity_user_id,"Responsible User",many2one,292,account.account,res.users,90,,,,,"res.users.id",No
16689,allowed_journal_ids,"Allowed Journals",many2many,292,account.account,account.journal,296,,account_account_account_journal_rel,account_account_id,account_journal_id,"Junction: account_account_account_journal_rel",Yes
7641,asset_model,"Asset Model",many2one,292,account.account,account.asset,404,,,,,"account.asset.id",Yes
7643,can_create_asset,"Can Create Asset",boolean,292,account.account,,,,,,,"Computed",No
5014,code,"Code",char,292,account.account,,,,,,,"account.account.code",Yes
28102,company_currency_id,"Currency",many2one,292,account.account,res.currency,85,,,,,"res.currency.id",No
5023,company_id,"Company",many2one,292,account.account,res.company,87,,,,,"res.company.id",Yes
7642,create_asset,"Create Asset",selection,292,account.account,,,,,,,"account.account.create_asset",Yes
5032,create_date,"Created on",datetime,292,account.account,,,,,,,"account.account.create_date",Yes
5031,create_uid,"Created by",many2one,292,account.account,res.users,90,,,,,"res.users.id",Yes
5013,currency_id,"Account Currency",many2one,292,account.account,res.currency,85,,,,,"res.currency.id",Yes
25633,current_balance,"Current Balance",float,292,account.account,,,,,,,"Computed",No
5015,deprecated,"Deprecated",boolean,292,account.account,,,,,,,"account.account.deprecated",Yes
5030,display_name,"Display Name",char,292,account.account,,,,,,,"Computed",No
18216,exclude_provision_currency_ids,"Exclude Provision Currency",many2many,292,account.account,res.currency,85,,account_account_exclude_res_currency_provision,account_account_id,res_currency_id,"Junction: account_account_exclude_res_currency_provision",Yes
7644,form_view_ref,"Form View Ref",char,292,account.account,,,,,,,"Computed",No
5025,group_id,"Group",many2one,292,account.account,account.group,293,,,,,"account.group.id",Yes
25614,has_message,"Has Message",boolean,292,account.account,,,,,,,"Computed",No
5029,id,"ID",integer,292,account.account,,,,,,,"account.account.id",Yes
28106,include_initial_balance,"Bring Accounts Balance Forward",boolean,292,account.account,,,,,,,"account.account.include_initial_balance",Yes
5019,internal_group,"Internal Group",selection,292,account.account,,,,,,,"account.account.internal_group",Yes
25621,message_attachment_count,"Attachment Count",integer,292,account.account,,,,,,,"Computed",No
25611,message_follower_ids,"Followers",one2many,292,account.account,mail.followers,150,res_id,,,,"mail.followers.res_id",Yes
25619,message_has_error,"Message Delivery error",boolean,292,account.account,,,,,,,"Computed",No
25620,message_has_error_counter,"Number of errors",integer,292,account.account,,,,,,,"Computed",No
25624,message_has_sms_error,"SMS Delivery error",boolean,292,account.account,,,,,,,"Computed",No
25613,message_ids,"Messages",one2many,292,account.account,mail.message,152,res_id,,,,"mail.message.res_id",Yes
25610,message_is_follower,"Is Follower",boolean,292,account.account,,,,,,,"Computed",No
25617,message_needaction,"Action Needed",boolean,292,account.account,,,,,,,"Computed",No
25618,message_needaction_counter,"Number of Actions",integer,292,account.account,,,,,,,"Computed",No
25612,message_partner_ids,"Followers (Partners)",many2many,292,account.account,res.partner,78,,,,,"",No
18497,multiple_assets_per_line,"Multiple Assets per Line",boolean,292,account.account,,,,,,,"account.account.multiple_assets_per_line",Yes
51557,my_activity_date_deadline,"My Activity Deadline",date,292,account.account,,,,,,,"Computed",No
5012,name,"Account Name",char,292,account.account,,,,,,,"account.account.name",Yes
28111,non_trade,"Non Trade",boolean,292,account.account,,,,,,,"account.account.non_trade",Yes
5022,note,"Special Note",text,292,account.account,,,,,,,"account.account.note",Yes
16692,opening_balance,"Opening Balance",monetary,292,account.account,,,,,,,"Computed",No
5028,opening_credit,"Opening Credit",monetary,292,account.account,,,,,,,"Computed",No
5027,opening_debit,"Opening Debit",monetary,292,account.account,,,,,,,"Computed",No
41139,rating_ids,"Ratings",one2many,292,account.account,rating.rating,431,res_id,,,,"rating.rating.res_id",Yes
5020,reconcile,"Allow Reconciliation",boolean,292,account.account,,,,,,,"account.account.reconcile",Yes
25634,related_taxes_amount,"Related Taxes Amount",integer,292,account.account,,,,,,,"Computed",No
