Model,Name,Read,Write,Create,Delete,Access_Level
account.account,Account,Yes,No,No,No,READ ONLY
account.account.tag,Account Tag,Yes,No,No,No,READ ONLY
account.analytic.account,Analytic Account,Yes,Yes,Yes,Yes,FULL ACCESS
account.analytic.applicability,Analytic Plan's Applicabilities,Yes,Yes,Yes,Yes,FULL ACCESS
account.analytic.distribution.model,Analytic Distribution Model,Yes,Yes,Yes,Yes,FULL ACCESS
account.analytic.line,Analytic Account,Yes,Yes,Yes,Yes,FULL ACCESS
account.analytic.plan,Analytic Plans,Yes,Yes,Yes,Yes,FULL ACCESS
account.edi.document,Electronic Document for an account.move,Yes,No,No,No,READ ONLY
account.edi.format,EDI format,Yes,No,No,No,READ ONLY
account.fiscal.position,Fiscal Position,Yes,No,No,No,READ ONLY
account.fiscal.position.account,Accounts Mapping of Fiscal Position,Yes,No,No,No,READ ONLY
account.fiscal.position.tax,Tax Mapping of Fiscal Position,Yes,No,No,No,READ ONLY
account.incoterms,Incoterms,Yes,No,No,No,READ ONLY
account.invoice_extract.words,Extracted words from invoice scan,Yes,Yes,Yes,Yes,FULL ACCESS
account.journal,Journal,Yes,No,No,No,READ ONLY
account.move,Journal Entry,Yes,No,No,No,READ ONLY
account.move.approval,Bill approval lines,Yes,Yes,Yes,Yes,FULL ACCESS
account.move.line,Journal Item,Yes,No,No,No,READ ONLY
account.move.reject,Vendor Bill Rejection,Yes,Yes,Yes,Yes,FULL ACCESS
account.move.send,Account Move Send,Yes,No,No,No,READ ONLY
account.move.stage,Bill Approval Stages,Yes,Yes,Yes,Yes,FULL ACCESS
account.partial.reconcile,Partial Reconcile,Yes,No,No,No,READ ONLY
account.payment.method,Payment Methods,Yes,No,No,No,READ ONLY
account.payment.method.line,Payment Methods,Yes,No,No,No,READ ONLY
account.payment.term,Payment Terms,Yes,No,No,No,READ ONLY
account.payment.term.line,Payment Terms Line,Yes,No,No,No,READ ONLY
account.tax,Tax,Yes,No,No,No,READ ONLY
account.tax.group,Tax Group,Yes,No,No,No,READ ONLY
account.tax.repartition.line,Tax Repartition Line,Yes,No,No,No,READ ONLY
activity.report,Users Activity Analysis,Yes,No,No,No,READ ONLY
appraisal.ask.feedback,Ask Feedback for Appraisal,Yes,Yes,Yes,No,READ/WRITE/CREATE
approval.rule,Vendor Bill Approval Rules,Yes,Yes,Yes,Yes,FULL ACCESS
auth_totp.device,Authentication Device,Yes,No,No,No,READ ONLY
auth_totp.wizard,2-Factor Setup Wizard,Yes,Yes,Yes,Yes,FULL ACCESS
barcode.nomenclature,Barcode Nomenclature,Yes,No,No,No,READ ONLY
barcode.rule,Barcode Rule,Yes,No,No,No,READ ONLY
base.geo_provider,Geo Provider,Yes,No,No,No,READ ONLY
base.language.export,Language Export,Yes,Yes,Yes,No,READ/WRITE/CREATE
base.module.install.request,Module Activation Request,Yes,Yes,Yes,No,READ/WRITE/CREATE
base.partner.merge.automatic.wizard,Merge Partner Wizard,Yes,Yes,Yes,No,READ/WRITE/CREATE
base.partner.merge.line,Merge Partner Line,Yes,Yes,Yes,Yes,FULL ACCESS
base_import.import,Base Import,Yes,Yes,Yes,No,READ/WRITE/CREATE
base_import.mapping,Base Import Mapping,Yes,Yes,Yes,Yes,FULL ACCESS
board.board,Board,Yes,No,No,No,READ ONLY
board.calculator,Board Calculator,Yes,Yes,Yes,Yes,FULL ACCESS
board.calculator.line,Board Calculator Line,Yes,Yes,Yes,Yes,FULL ACCESS
bus.presence,User Presence,Yes,Yes,Yes,Yes,FULL ACCESS
business.response.line.wizard,Business Response Line Wizard,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.alarm,Event Alarm,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.alarm_manager,Event Alarm Manager,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.attendee,Calendar Attendee Information,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.event,Calendar Event,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.event.type,Event Meeting Type,Yes,No,No,No,READ ONLY
calendar.filters,Calendar Filters,Yes,Yes,Yes,Yes,FULL ACCESS
calendar.popover.delete.wizard,Calendar Popover Delete Wizard,Yes,Yes,Yes,Yes,FULL ACCESS
