Model,Name,Read,Write,Create,Delete,Access_Level
_unknown,Unknown,No,No,No,No,NO ACCESS
account.account,Account,Yes,No,No,No,READ-ONLY
account.account.tag,Account Tag,Yes,No,No,No,READ-ONLY
account.aged.partner.balance.report.handler,Aged Partner Balance Custom Handler,Yes,No,No,No,READ-ONLY
account.aged.payable.report.handler,Aged Payable Custom Handler,Yes,No,No,No,READ-ONLY
account.aged.receivable.report.handler,Aged Receivable Custom Handler,Yes,No,No,No,READ-ONLY
account.analytic.account,Analytic Account,Yes,Yes,Yes,Yes,FULL (RWCD)
account.analytic.applicability,Analytic Plan's Applicabilities,Yes,Yes,Yes,Yes,FULL (RWCD)
account.analytic.distribution.model,Analytic Distribution Model,Yes,Yes,Yes,Yes,FULL (RWCD)
account.analytic.line,Analytic Account,Yes,Yes,Yes,Yes,FULL (RWCD)
account.analytic.plan,Analytic Plans,Yes,Yes,Yes,Yes,FULL (RWCD)
account.asset,Asset/Revenue Recognition,Yes,No,No,No,READ-ONLY
account.asset.report.handler,Assets Report Custom Handler,Yes,No,No,No,READ-ONLY
account.bank.statement,Bank Statement,Yes,No,No,No,READ-ONLY
account.bank.statement.line,Bank Statement Line,Yes,No,No,No,READ-ONLY
account.batch.payment,Batch Payment,Yes,No,No,No,READ-ONLY
account.budget.post,Budgetary Position,Yes,No,No,No,READ-ONLY
account.cash.flow.report.handler,Cash Flow Report Custom Handler,Yes,No,No,No,READ-ONLY
account.cash.rounding,Account Cash Rounding,Yes,No,No,No,READ-ONLY
account.chart.template,Account Chart Template,Yes,No,No,No,READ-ONLY
account.deferred.expense.report.handler,Deferred Expense Custom Handler,Yes,No,No,No,READ-ONLY
account.deferred.report.handler,Deferred Expense Report Custom Handler,Yes,No,No,No,READ-ONLY
account.deferred.revenue.report.handler,Deferred Revenue Custom Handler,Yes,No,No,No,READ-ONLY
account.ec.sales.report.handler,EC Sales Report Custom Handler,Yes,No,No,No,READ-ONLY
account.edi.common,"Common functions for EDI documents: generate the data, the constraints, etc",Yes,No,No,No,READ-ONLY
account.edi.document,Electronic Document for an account.move,Yes,No,No,No,READ-ONLY
account.edi.format,EDI format,Yes,No,No,No,READ-ONLY
account.edi.xml.cii,Factur-x/XRechnung CII 2.2.0,Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_20,UBL 2.0,Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_21,UBL 2.1,Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_a_nz,A-NZ BIS Billing 3.0,Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_bis3,UBL BIS Billing 3.0.12,Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_de,BIS3 DE (XRechnung),Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_efff,E-FFF (BE),Yes,No,No,No,READ-ONLY
